# postcodes.txt
#
# This file is distributed as part of FindMyNearest. It contains
# calculated mean locations for GB postcode areas, districts and
# sectors.
#
# These data are derived from the Ordnance Survey Code Point Open
# data and are made availabe under the Creative Commons 
# Attribution 3.0 licence, see
# http://creativecommons.org/licenses/by/3.0/
#
# Any derivitive work must retain the following attribution
#
# Contains Ordnance Survey data (c) Crown copyright and 
# database right 2010
#
# Contains Royal Mail data (c) Royal Mail copyright and 
# database right 2010
#
# postcode	eastings	northings
AB10 1	393643	805941
AB10 6	392810	805039
AB10 7	392120	803821
AB10	392871	804959
AB11 5	394692	805924
AB11 6	393792	805589
AB11 7	393886	804945
AB11 8	395140	804749
AB11 9	395092	805102
AB11	394470	805357
AB12 3	394750	801742
AB12 4	391999	797012
AB12 5	392314	802407
AB12 9	394269	804828
AB12	393308	801304
AB13 0	385570	802048
AB13	385570	802048
AB14 0	383629	801201
AB14	383629	801201
AB15 4	391886	805675
AB15 5	391942	806474
AB15 6	390411	806294
AB15 7	391158	804437
AB15 8	388331	806206
AB15 9	388805	803013
AB15	390041	805230
AB16 5	391102	807653
AB16 6	389961	807089
AB16 7	390537	808515
AB16 9	391036	806954
AB16	390623	807697
AB21 0	386048	816157
AB21 1	388565	812130
AB21 7	389059	813279
AB21 9	389033	809922
AB21	387790	813349
AB22 8	392785	810633
AB22	392785	810633
AB23 8	394751	813480
AB23	394751	813480
AB24 1	394439	808631
AB24 2	392829	808932
AB24 3	393812	807870
AB24 4	392335	808427
AB24 5	394547	807159
AB24	393564	808100
AB25 1	393644	806635
AB25 2	392843	806642
AB25 3	393156	807410
AB25	393192	806868
AB30 1	370914	772872
AB30	370914	772872
AB31 4	362925	801318
AB31 5	372237	797028
AB31 6	370892	793787
AB31	368211	798210
AB32 6	381970	806920
AB32 7	375132	808580
AB32 9	382623	806444
AB32	380886	807180
AB33 8	355321	815152
AB33	355321	815152
AB34 4	348198	804824
AB34 5	351777	799031
AB34	350802	800609
AB35 5	330543	794786
AB35	330543	794786
AB36 8	335516	812306
AB36	335516	812306
AB37 9	318696	827413
AB37	318696	827413
AB38 7	325126	846781
AB38 9	327438	843282
AB38	326555	844618
AB39 2	386720	785534
AB39 3	386985	790265
AB39	386822	787355
AB41 1	395045	830677
AB41 6	394910	824884
AB41 7	387536	833396
AB41 8	396573	834166
AB41 9	395344	830626
AB41	393745	831666
AB42 0	406781	837453
AB42 1	412709	846542
AB42 2	411960	845624
AB42 3	410413	846647
AB42 4	399225	849109
AB42 5	397359	846050
AB42	406592	845646
AB43 6	390594	857383
AB43 7	394818	864367
AB43 8	403438	861002
AB43 9	399172	866541
AB43	397455	863033
AB44 1	370702	864376
AB44	370702	864376
AB45 1	368627	864003
AB45 2	359634	863224
AB45 3	372157	860762
AB45	366268	862536
AB51 0	379352	822517
AB51 3	377302	821046
AB51 4	376539	822211
AB51 5	373110	821438
AB51 6	377887	822600
AB51 7	368151	811255
AB51 8	373684	835459
AB51	375717	822034
AB52 6	363601	828241
AB52	363601	828241
AB53 4	371072	850088
AB53 5	379135	853901
AB53 6	386769	847869
AB53 8	376468	842472
AB53	376482	848367
AB54 4	348823	833364
AB54 6	360142	840825
AB54 7	359099	850640
AB54 8	352834	839880
AB54	354290	840622
AB55 4	332701	840049
AB55 5	342466	849484
AB55 6	343636	852960
AB55	340798	848664
AB56 1	342521	865422
AB56 4	348594	867167
AB56 5	343520	862327
AB56	344788	865353
AB99 8	394406	802269
AB99	394406	802269
AB	380771	822329
AL1 1	515467	206435
AL1 2	514761	205847
AL1 3	515324	207318
AL1 4	516283	207861
AL1 5	516619	206690
AL1 9	517272	206836
AL1	515918	206895
AL10 0	522401	209027
AL10 1	522507	208780
AL10 8	522445	207667
AL10 9	521488	208354
AL10	522109	208358
AL2 1	517657	204091
AL2 2	514538	203674
AL2 3	513308	203358
AL2	515135	203698
AL3 4	514074	206869
AL3 5	514706	208008
AL3 6	514355	209182
AL3 7	510504	212123
AL3 8	506780	215494
AL3	512148	210254
AL4 0	518434	206793
AL4 8	517476	214059
AL4 9	517190	209272
AL4	517716	209684
AL5 1	514572	213241
AL5 2	513116	213666
AL5 3	511792	215476
AL5 4	513677	215050
AL5 5	514446	214730
AL5 9	513594	214185
AL5	513629	214371
